model,feature_set,n_features,roc_auc,avg_precision,brier,threshold,precision,recall,f1,positive_rate_pred,grid_km,cells,cell_months,positive_share_test
Logit_C_local_plus_neighbors,C_local_plus_neighbors,17,0.828760487727952,0.5084154901990686,0.4448348974657126,0.09370796973502209,0.09370796973502209,1.0,0.17135830098728305,1.0,50,2659,667409,0.09370796973502209
Logit_D_fatality_split,D_fatality_split,19,0.8284939999995599,0.5080551420656567,0.44453426927742123,0.09370796973502209,0.09370796973502209,1.0,0.17135830098728305,1.0,50,2659,667409,0.09370796973502209
Logit_B_local_history,B_local_history,15,0.822194957345898,0.5051222696876979,0.44805215354169753,0.09370796973502209,0.09370796973502209,1.0,0.17135830098728305,1.0,50,2659,667409,0.09370796973502209
RF_D_fatality_split,D_fatality_split,19,0.8180897432402473,0.5026234280571663,0.14921829812465326,0.09370796973502209,0.11590665304019528,0.9334739133392286,0.20620895881230372,0.754693047596586,50,2659,667409,0.09370796973502209
RF_C_local_plus_neighbors,C_local_plus_neighbors,17,0.8175225694272179,0.5025852737904754,0.14110015463255884,0.09370796973502209,0.12204203660083349,0.9163322222978029,0.21539642311781965,0.7035906196416392,50,2659,667409,0.09370796973502209
RF_B_local_history,B_local_history,15,0.8108593770250868,0.4982347289219083,0.14478657765966824,0.09370796973502209,0.12454033312328948,0.9007550506768247,0.218825395776184,0.6777557511744571,50,2659,667409,0.09370796973502209
RF_C_local_plus_neighbors,C_local_plus_neighbors,17,0.8445863898456142,0.6099356656304565,0.16118448552818304,0.13927678878110603,0.1824900605440718,0.9407262522323326,0.3056814413617774,0.7179642066114723,100,1431,359181,0.13927678878110603
RF_D_fatality_split,D_fatality_split,19,0.8444009152062255,0.6096036462917966,0.16834082042908607,0.13927678878110603,0.17287242240236722,0.9539076452079258,0.29270011090090675,0.768527401722157,100,1431,359181,0.13927678878110603
Logit_C_local_plus_neighbors,C_local_plus_neighbors,17,0.8500791245182288,0.6083214473220772,0.38403591988622715,0.13927678878110603,0.13927843843274743,1.0,0.2445028954016655,0.9999881557284819,100,1431,359181,0.13927678878110603
Logit_D_fatality_split,D_fatality_split,19,0.8494609529560189,0.6077935418778615,0.3837819058285779,0.13927678878110603,0.13928008812346762,1.0,0.24450543738173955,0.9999763114569639,100,1431,359181,0.13927678878110603
RF_B_local_history,B_local_history,15,0.8398099377909308,0.6066972001171081,0.16652863761425166,0.13927678878110603,0.18681487815305686,0.9289905604218046,0.31107440840618505,0.6925937770197444,100,1431,359181,0.13927678878110603
Logit_B_local_history,B_local_history,15,0.8447845510425522,0.6049020110036747,0.3870574375755338,0.13927678878110603,0.13928008812346762,1.0,0.24450543738173955,0.9999763114569639,100,1431,359181,0.13927678878110603
RF_D_fatality_split,D_fatality_split,19,0.8634415327074032,0.7263736884594668,0.18593283784109937,0.22997409046745115,0.3125120716962182,0.9494190822673395,0.4702394791908858,0.6986667386375904,200,628,157628,0.22997409046745115
RF_C_local_plus_neighbors,C_local_plus_neighbors,17,0.863292774508884,0.7258350680333726,0.18366624672835827,0.22997409046745115,0.3186425912726697,0.9443727262058443,0.4765062916358253,0.6815826406131923,200,628,157628,0.22997409046745115
RF_B_local_history,B_local_history,15,0.8603420724493684,0.7242881667208787,0.19026606348478595,0.22997409046745115,0.31755846214823624,0.9402652270860228,0.4747711178928032,0.6809349022994711,200,628,157628,0.22997409046745115
Logit_C_local_plus_neighbors,C_local_plus_neighbors,17,0.8648752178676213,0.7210463259642874,0.31282797293467823,0.22997409046745115,0.22998029742786968,1.0,0.3739576933204599,0.9999730109035949,200,628,157628,0.22997409046745115
Logit_D_fatality_split,D_fatality_split,19,0.8648587419664968,0.721042755352357,0.3128155634670342,0.22997409046745115,0.22998029742786968,1.0,0.3739576933204599,0.9999730109035949,200,628,157628,0.22997409046745115
Logit_B_local_history,B_local_history,15,0.861613044974776,0.7198165173949671,0.3156035088623408,0.22997409046745115,0.22998029742786968,1.0,0.3739576933204599,0.9999730109035949,200,628,157628,0.22997409046745115
