feature,standardized_logit_coefficient,odds_ratio_per_1sd,scope,protest_type,window
peaceful_protests_hist_1w,0.1209929515596545,1.128616957350012,temporal_focal_history,peaceful,1w
peaceful_protests_hist_2w,0.009577231959213926,1.0096232404057708,temporal_focal_history,peaceful,2w
peaceful_protests_hist_4w,1.2563860679150451,3.5127038477237393,temporal_focal_history,peaceful,4w
nonpeaceful_protests_hist_1w,0.04213301979961985,1.0430332135923872,temporal_focal_history,nonpeaceful,1w
nonpeaceful_protests_hist_2w,0.024017154841324943,1.024307889579215,temporal_focal_history,nonpeaceful,2w
nonpeaceful_protests_hist_4w,0.37111466655891046,1.449349255750499,temporal_focal_history,nonpeaceful,4w
neighbor_peaceful_protests_hist_1w,0.11107526741621715,1.1174790134471946,spatial_neighbor_history,peaceful,1w
neighbor_peaceful_protests_hist_2w,-0.036184794683575196,0.9644620495550973,spatial_neighbor_history,peaceful,2w
neighbor_peaceful_protests_hist_4w,0.31058204319002175,1.3642189174264538,spatial_neighbor_history,peaceful,4w
neighbor_nonpeaceful_protests_hist_1w,0.053507348623162365,1.0549647442774615,spatial_neighbor_history,nonpeaceful,1w
neighbor_nonpeaceful_protests_hist_2w,0.04840655897173447,1.0495972917878376,spatial_neighbor_history,nonpeaceful,2w
neighbor_nonpeaceful_protests_hist_4w,-0.04307172160544779,0.9578426895879422,spatial_neighbor_history,nonpeaceful,4w
