model,top_share,n_flagged,precision_at_top,recall_at_top,lift_vs_base_rate
RF_B_local_history,0.01,845,0.9680473372781065,0.06956373841313036,6.950528840807318
RF_B_local_history,0.05,4222,0.8263855992420653,0.2967089038183519,5.933405030904697
RF_B_local_history,0.1,8443,0.6560464289944332,0.47104345607619696,4.710378769756867
RF_C_local_plus_neighbors,0.01,845,0.9692307692307692,0.0696487796581342,6.95902581983031
RF_C_local_plus_neighbors,0.05,4222,0.8195168166745618,0.2942427077132409,5.884087534230511
RF_C_local_plus_neighbors,0.1,8443,0.6595996683643255,0.4735946934263118,4.735890841086116
RF_D_fatality_split,0.01,845,0.9715976331360947,0.06981886214814186,6.976019777876293
RF_D_fatality_split,0.05,4222,0.8209379441023211,0.2947529551832639,5.894291154232066
RF_D_fatality_split,0.1,8443,0.6595996683643255,0.4735946934263118,4.735890841086116
Logit_C_local_plus_neighbors,0.01,845,0.9526627218934911,0.06845820222808062,6.840068113508424
Logit_C_local_plus_neighbors,0.05,4222,0.8126480341070582,0.29177651160812995,5.834770037556324
Logit_C_local_plus_neighbors,0.1,8443,0.6586521378656875,0.47291436346628113,4.7290876220649825
Logit_D_fatality_split,0.01,845,0.9514792899408284,0.06837316098307679,6.831571134485432
Logit_D_fatality_split,0.05,4222,0.8135954523922312,0.2921166765881453,5.841572450890695
Logit_D_fatality_split,0.1,8443,0.6577046073670496,0.47223403350625054,4.72228440304385
