grid_km,horizon_weeks,feature,standardized_logit_coefficient,odds_ratio_per_1sd,scope,history_window
100,1,nonpeaceful_protests_hist_1w,0.02523041148564212,1.0255513921234,focal,1w
100,1,nonpeaceful_protests_hist_2w,0.022497262377872352,1.0227522342514659,focal,2w
100,1,nonpeaceful_protests_hist_4w,0.009305295212581418,1.0093487240736811,focal,4w
100,1,neighbor_nonpeaceful_protests_hist_1w,0.06281690022917293,1.0648318509128205,neighbor,1w
100,1,neighbor_nonpeaceful_protests_hist_2w,0.04856898659590316,1.0497677892286488,neighbor,2w
100,1,neighbor_nonpeaceful_protests_hist_4w,0.039290885388845315,1.0400729816856007,neighbor,4w
100,2,nonpeaceful_protests_hist_1w,0.029815857282068953,1.0302648007244626,focal,1w
100,2,nonpeaceful_protests_hist_2w,0.006020926605238358,1.0060390888166486,focal,2w
100,2,nonpeaceful_protests_hist_4w,0.01942246313851654,1.0196123062574853,focal,4w
100,2,neighbor_nonpeaceful_protests_hist_1w,0.08126647051370152,1.084659887938741,neighbor,1w
100,2,neighbor_nonpeaceful_protests_hist_2w,0.00580957702219711,1.0058264853423233,neighbor,2w
100,2,neighbor_nonpeaceful_protests_hist_4w,0.07699019070072301,1.0800314819886032,neighbor,4w
100,4,nonpeaceful_protests_hist_1w,0.02100758208047156,1.0212297946546576,focal,1w
100,4,nonpeaceful_protests_hist_2w,0.00018704435936722107,1.000187061853254,focal,2w
100,4,nonpeaceful_protests_hist_4w,0.037645312121014754,1.038362872830956,focal,4w
100,4,neighbor_nonpeaceful_protests_hist_1w,0.054034444940000495,1.0555209588850218,neighbor,1w
100,4,neighbor_nonpeaceful_protests_hist_2w,0.0002830037667754029,1.0002830438161194,neighbor,2w
100,4,neighbor_nonpeaceful_protests_hist_4w,0.1437750244649129,1.1546243170790902,neighbor,4w
